Lote 4588316, Stock:, 3.1 a 0 (3.1),costo,10856.000000, valor,33653.6 
Lote 5081016, Stock:, 0.6 a 0 (0.6),costo,10856.000000, valor,6513.6 
Lote 11684016, Stock:, 1.3 a 0 (1.3),costo,10856.000000, valor,14112.8 
Lote 5086316, Stock:, 3.52 a 0 (3.52),costo,10856.000000, valor,38213.12 
Lote 4589516, Stock:, 2.75 a 0 (2.75),costo,10856.000000, valor,29854 
Lote 4582316, Stock:, 3.46 a 0 (3.46),costo,10856.000000, valor,37561.76 
Lote 22151216, Stock:, 2.94 a 0 (2.94),costo,10856.000000, valor,31916.64 
Lote 21297417, Stock:, 1.2 a 0 (1.2),costo,10856.000000, valor,13027.2 
Lote 12595816, Stock:, 1.6 a 0 (1.6),costo,10856.000000, valor,17369.6 
Lote 12754115, Stock:, 1.02 a 0 (1.02),costo,10856.000000, valor,11073.12 
Lote 8322817, Stock:, 1.03 a 0 (1.03),costo,10856.000000, valor,11181.68 
Lote 13599516, Stock:, 0.85 a 0 (0.85),costo,10856.000000, valor,9227.6 
Lote 11164116, Stock:, 3.1 a 0 (3.1),costo,12758.000000, valor,39549.8 
Lote 1895916, Stock:, 0.62 a 0 (0.62),costo,10455.000000, valor,6482.1 
Lote 12193315, Stock:, 3.5 a 0 (3.5),costo,10455.000000, valor,36592.5 
Lote 3520917, Stock:, 0.8 a 0 (0.8),costo,10455.000000, valor,8364 
Lote 1891116, Stock:, 8.35 a 0 (8.35),costo,10455.000000, valor,87299.25 
Lote 8933216, Stock:, 5 a 0 (5),costo,10455.000000, valor,52275 
Lote 6305118, Stock:, 2.62 a 0 (2.62),costo,4789.000000, valor,12547.18 
Lote 12606315, Stock:, 4.8 a 0 (4.8),costo,9166.000000, valor,43996.8 
Lote 12608315, Stock:, 2.5 a 0 (2.5),costo,9166.000000, valor,22915 
Lote 17982315, Stock:, 2.05 a 0 (2.05),costo,9166.000000, valor,18790.3 
Lote 19810217, Stock:, 1.6 a 0 (1.6),costo,9166.000000, valor,14665.6 
